00:15.447  render           | Video append frame 39
00:15.447  render           | Time: 00:00.52 (Saving: 00:00.03)
00:15.447  render           | Rendering frame 40
00:15.447  render           | Executing sequencer
00:15.448  render           | Rendering frame 40
00:15.448  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:15.448  render           | Engine: EEVEE
00:15.596  render           | Fra: 40 | Rendering 1 / 16 samples
00:15.629  render           | Fra: 40 | Rendering 16 / 16 samples
00:15.982  render           | Video append frame 40
00:15.982  render           | Time: 00:00.53 (Saving: 00:00.02)
00:15.982  render           | Rendering frame 41
00:15.983  render           | Executing sequencer
00:15.995  render           | Rendering frame 41
00:15.995  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:15.995  render           | Engine: EEVEE
00:16.088  render           | Fra: 41 | Rendering 1 / 16 samples
00:16.115  render           | Fra: 41 | Rendering 16 / 16 samples
00:16.477  render           | Video append frame 41
00:16.478  render           | Time: 00:00.49 (Saving: 00:00.01)
00:16.482  render           | Rendering frame 42
00:16.483  render           | Executing sequencer
00:16.484  render           | Rendering frame 42
00:16.484  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:16.484  render           | Engine: EEVEE
00:16.559  render           | Fra: 42 | Rendering 1 / 16 samples
00:16.586  render           | Fra: 42 | Rendering 16 / 16 samples
00:16.914  render           | Video append frame 42
00:16.914  render           | Time: 00:00.43 (Saving: 00:00.02)
00:16.914  render           | Rendering frame 43
00:16.914  render           | Executing sequencer
00:16.915  render           | Rendering frame 43
00:16.915  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:16.916  render           | Engine: EEVEE
00:16.972  render           | Fra: 43 | Rendering 1 / 16 samples
00:16.998  render           | Fra: 43 | Rendering 16 / 16 samples
00:17.390  render           | Video append frame 43
00:17.390  render           | Time: 00:00.47 (Saving: 00:00.02)
00:17.391  render           | Rendering frame 44
00:17.392  render           | Executing sequencer
00:17.394  render           | Rendering frame 44
00:17.394  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:17.395  render           | Engine: EEVEE
00:17.481  render           | Fra: 44 | Rendering 1 / 16 samples
00:17.507  render           | Fra: 44 | Rendering 16 / 16 samples
00:17.856  render           | Video append frame 44
00:17.856  render           | Time: 00:00.46 (Saving: 00:00.01)
00:17.856  render           | Rendering frame 45
00:17.857  render           | Executing sequencer
00:17.858  render           | Rendering frame 45
00:17.858  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:17.858  render           | Engine: EEVEE
00:17.922  render           | Fra: 45 | Rendering 1 / 16 samples
00:17.947  render           | Fra: 45 | Rendering 16 / 16 samples
00:18.277  render           | Video append frame 45
00:18.277  render           | Time: 00:00.42 (Saving: 00:00.02)
00:18.277  render           | Rendering frame 46
00:18.278  render           | Executing sequencer
00:18.279  render           | Rendering frame 46
00:18.280  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:18.280  render           | Engine: EEVEE
00:18.350  render           | Fra: 46 | Rendering 1 / 16 samples
00:18.381  render           | Fra: 46 | Rendering 16 / 16 samples
00:18.723  render           | Video append frame 46
00:18.723  render           | Time: 00:00.44 (Saving: 00:00.01)
00:18.723  render           | Rendering frame 47
00:18.723  render           | Executing sequencer
00:18.724  render           | Rendering frame 47
00:18.725  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:18.725  render           | Engine: EEVEE
00:18.785  render           | Fra: 47 | Rendering 1 / 16 samples
00:18.817  render           | Fra: 47 | Rendering 16 / 16 samples
00:19.135  render           | Video append frame 47
00:19.136  render           | Time: 00:00.41 (Saving: 00:00.01)
00:19.136  render           | Rendering frame 48
00:19.136  render           | Executing sequencer
00:19.137  render           | Rendering frame 48
00:19.138  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:19.138  render           | Engine: EEVEE
00:19.217  render           | Fra: 48 | Rendering 1 / 16 samples
00:19.245  render           | Fra: 48 | Rendering 16 / 16 samples
00:19.581  render           | Video append frame 48
00:19.581  render           | Time: 00:00.44 (Saving: 00:00.02)
00:19.581  render           | Rendering frame 49
00:19.582  render           | Executing sequencer
00:19.583  render           | Rendering frame 49
00:19.583  render           | Start rendering: KHATIB / Software launch, ViewLayer
